TRADEDATE,GAZP,ROSN,NVTK,LKOH,GMKN,SBER,PLZL,NLMK,SNGS,TATN,YNDX,ALRS,POLY,MGNT
2017-12-01,133.02,292.0,663.5,3344.0,10080.0,221.5,4920.0,130.22,27.705,459.75,1931.5,77.53,704.8,6340.0
2017-12-04,133.77,292.7,666.0,3390.5,10166.0,224.6,4868.0,134.31,27.405,511.45,1907.0,75.51,690.4,6370.0
2017-12-05,133.65,293.4,669.8,3403.0,10077.0,223.91,4697.0,133.96,27.33,506.7,1899.0,75.0,672.0,6300.0
2017-12-06,134.0,292.4,673.0,3403.0,10166.0,223.75,4815.0,138.76,27.99,510.9,1900.0,75.8,665.9,6335.0
2017-12-07,133.02,292.5,677.1,3374.5,10063.0,219.81,4780.0,139.2,27.67,507.0,1949.5,74.82,666.9,6355.0
2017-12-08,132.6,293.75,668.4,3388.5,10077.0,220.89,4714.0,138.86,27.7,503.1,1957.0,74.55,670.8,6550.0
2017-12-11,134.65,297.55,676.9,3432.5,10423.0,227.69,4682.0,147.3,28.895,516.95,1997.5,75.5,688.9,6655.0
2017-12-12,135.5,303.1,695.0,3473.5,10787.0,227.9,4668.0,146.17,29.01,517.0,1954.0,75.2,668.0,6559.0
2017-12-13,135.56,298.85,690.0,3458.0,10512.0,221.8,4291.0,144.3,29.095,503.0,1938.0,73.1,660.1,6400.0
2017-12-14,135.91,300.7,686.0,3453.5,10669.0,229.9,4520.0,142.74,29.3,492.8,1919.0,75.5,673.9,6490.0
2017-12-15,135.5,299.65,698.0,3420.0,10595.0,226.53,4665.0,141.95,28.915,487.55,1895.0,74.94,678.9,6411.0
2017-12-18,134.25,296.5,688.6,3395.5,10680.0,227.4,4690.0,141.8,28.815,503.0,1892.0,75.4,685.4,6287.0
2017-12-19,133.96,293.65,680.0,3402.0,10653.0,224.1,4643.0,141.55,28.4,491.65,1902.0,74.04,688.6,6254.0
2017-12-20,132.5,293.3,665.1,3373.0,10613.0,226.0,4592.0,141.85,28.035,477.3,1873.5,75.01,695.0,6256.0
2017-12-21,131.7,293.8,674.7,3332.5,10531.0,223.6,4463.0,145.75,28.185,471.95,1884.0,74.3,697.5,6290.0
2017-12-22,132.42,293.75,684.4,3347.0,10710.0,221.44,4428.0,146.5,28.235,481.6,1832.0,75.2,692.0,6251.0
2017-12-25,131.96,298.0,671.8,3320.0,10655.0,223.3,4363.0,145.0,27.755,481.75,1847.0,75.17,687.2,6237.0
