TRADEDATE,GAZP,SBER,SBERP,LKOH,GMKN,YNDX,NVTK,TATN,TATNP,ROSN,SNGS,SNGSP,MGNT,FIVE,MTSS,POLY,ALRS,CHMF,PLZL,IRAO,NLMK,VTBR,MOEX,PHOR,TRNFP,MAGN,RTKM,RUAL,AFLT,PIKK,HYDR,FEES,AFKS,LSRG,CBOM,UPRO,DSKY,LNTA,SFIN,RNFT,MVID
2017-12-13,135.56,221.8,188.84,3458.0,10512.0,1938.0,690.0,503.0,390.0,298.85,29.095,29.235,6400.0,,250.85,660.1,73.1,898.3,4291.0,3.6095,144.3,0.0501,118.0,2564.0,181000.0,44.7,64.5,36.97,137.0,308.4,0.8219,0.16145,10.22,762.5,4.28,2.623,94.7,346.5,,569.8,398.0
2017-12-14,135.91,229.9,193.23,3453.5,10669.0,1919.0,686.0,492.8,383.1,300.7,29.3,29.19,6490.0,,256.2,673.9,75.5,899.6,4520.0,3.619,142.74,0.0504,121.12,2561.0,180900.0,44.89,64.1,38.9,141.8,310.2,0.8248,0.1618,10.3,756.0,4.265,2.65,92.0,350.0,,533.4,407.0
2017-12-15,135.5,226.53,190.0,3420.0,10595.0,1895.0,698.0,487.55,395.0,299.65,28.915,29.89,6411.0,,266.0,678.9,74.94,901.4,4665.0,3.5925,141.95,0.05,120.81,2553.0,178200.0,44.1,64.3,39.0,143.6,308.2,0.8247,0.16175,10.3,760.0,4.25,2.59,94.1,352.5,,516.1,417.0
2017-12-18,134.25,227.4,191.29,3395.5,10680.0,1892.0,688.6,503.0,392.6,296.5,28.815,29.65,6287.0,,263.0,685.4,75.4,891.6,4690.0,3.5755,141.8,0.04987,118.0,2542.0,176200.0,42.57,64.3,39.01,142.0,308.8,0.7966,0.161,9.0,759.0,4.234,2.61,91.5,343.5,,529.2,411.1
2017-12-19,133.96,224.1,190.67,3402.0,10653.0,1902.0,680.0,491.65,391.5,293.65,28.4,29.08,6254.0,,262.15,688.6,74.04,892.8,4643.0,3.489,141.55,0.0484,114.72,2564.0,176000.0,43.35,63.99,39.06,141.35,307.0,0.7518,0.1605,9.225,769.0,4.26,2.595,91.55,340.0,,527.6,396.1
2017-12-20,132.5,226.0,191.25,3373.0,10613.0,1873.5,665.1,477.3,390.0,293.3,28.035,28.745,6256.0,,260.6,695.0,75.01,877.8,4592.0,3.432,141.85,0.04591,111.75,2544.0,175900.0,43.165,64.0,38.36,138.0,305.3,0.7165,0.16335,9.415,760.5,4.23,2.588,89.7,339.5,,558.7,400.4
2017-12-21,131.7,223.6,189.5,3332.5,10531.0,1884.0,674.7,471.95,367.9,293.8,28.185,28.375,6290.0,,269.0,697.5,74.3,871.2,4463.0,3.357,145.75,0.04535,108.9,2500.0,176000.0,43.1,64.15,38.14,138.8,306.9,0.7328,0.16325,9.615,792.5,4.3,2.571,87.8,341.0,,570.9,404.0
2017-12-22,132.42,221.44,189.2,3347.0,10710.0,1832.0,684.4,481.6,368.0,293.75,28.235,28.49,6251.0,,271.4,692.0,75.2,876.9,4428.0,3.34,146.5,0.04655,110.1,2493.0,176500.0,42.185,64.02,39.0,138.8,307.1,0.7349,0.16655,11.32,817.5,4.31,2.565,91.75,337.0,,586.9,398.2
2017-12-25,131.96,223.3,189.82,3320.0,10655.0,1847.0,671.8,481.75,361.1,298.0,27.755,28.365,6237.0,,285.5,687.2,75.17,875.7,4363.0,3.4095,145.0,0.0473,110.0,2492.0,181000.0,42.2,63.78,39.06,138.85,306.0,0.7275,0.16595,13.75,822.5,4.414,2.56,95.95,338.0,,600.0,397.4
2017-12-26,131.2,223.57,190.0,3288.0,10629.0,1840.0,671.5,483.0,359.5,296.55,27.505,28.0,6244.0,,281.25,688.3,74.83,869.2,4394.0,3.3205,147.23,0.04685,109.01,2475.0,181950.0,41.665,63.74,39.45,139.0,309.9,0.722,0.1635,13.3,822.0,4.543,2.537,96.1,336.5,,603.5,394.9
