,code,name
0,"ПАО  ""Газпром""",GAZP
1,ПАО Сбербанк,SBER
2,ПАО Сбербанк,SBERP
3,"ПАО ""ЛУКОЙЛ""",LKOH
4,"ПАО ""ГМК ""Норильский никель""",GMKN
5,Яндекс Н.В.,YNDX
6,"ПАО ""НОВАТЭК""",NVTK
7,"ПАО ""Татнефть"" им. В.Д. Шашина",TATN
8,"ПАО ""Татнефть"" им. В.Д. Шашина",TATNP
9,"ПАО ""НК ""Роснефть""",ROSN
10,"ПАО ""Сургутнефтегаз""",SNGS
11,"ПАО ""Сургутнефтегаз""",SNGSP
12,"ПАО ""Магнит""",MGNT
13,Икс 5 Ритейл Груп Н.В.и,FIVE
14,"ПАО ""МТС""",MTSS
15,Полиметалл Интернэшнл плс,POLY
16,"АК ""АЛРОСА"" (ПАО)",ALRS
17,"ПАО ""Северсталь""",CHMF
18,"ПАО ""Полюс""",PLZL
19,"ПАО ""Интер РАО""",IRAO
20,"ПАО ""НЛМК""",NLMK
21,Банк ВТБ (ПАО),VTBR
22,ПАО Московская Биржа,MOEX
23,"ПАО ""ФосАгро""",PHOR
24,"ПАО ""Транснефть""",TRNFP
25,"ПАО ""ММК""",MAGN
26,"ПАО ""Ростелеком""",RTKM
27,Юнайтед Компани РУСАЛ Плс,RUAL
28,"ПАО ""Аэрофлот""",AFLT
29,"ПАО ""Группа Компаний ПИК""",PIKK
30,"ПАО ""РусГидро""",HYDR
31,"ПАО ""ФСК ЕЭС""",FEES
32,"ПАО АФК ""Система""",AFKS
33,"ПАО ""Группа ЛСР""",LSRG
34,"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК""",CBOM
35,"ПАО ""Юнипро""",UPRO
36,"ПАО ""Детский мир""",DSKY
37,Лента Лтд.,LNTA
38,"ПАО ""САФМАР Финансовые инвестиции""",SFIN
39,"ПАО НК ""РуссНефть""",RNFT
40,"ПАО ""М.видео""",MVID
